acetic,citric,suger,salt,SO2free,SO2tota,pH,sulfate,alcohol,quality
0.180,0.330,1.400,0.029,35.000,138.000,3.360,0.600,11.500,0.700
0.210,0.280,2.400,0.056,49.000,159.000,3.020,0.470,8.800,0.800
0.410,0.180,3.500,0.027,23.000,109.000,3.340,0.540,12.800,0.800
0.220,0.420,14.600,0.044,45.000,163.000,3.210,0.690,8.600,0.700
0.320,0.330,2.400,0.037,18.000,101.000,3.210,0.650,11.700,0.700
0.130,0.250,1.100,0.033,15.000,86.000,2.980,0.390,11.200,0.800
0.320,0.330,1.400,0.029,29.000,109.000,3.150,0.510,12.800,0.700
0.200,0.380,7.900,0.052,30.000,145.000,3.320,0.560,11.000,0.700
0.120,0.290,10.300,0.039,41.000,98.000,3.190,0.380,9.800,0.800
0.220,0.320,2.200,0.028,36.000,92.000,3.270,0.590,11.900,0.700
0.290,0.270,1.700,0.024,13.000,76.000,3.210,0.510,12.600,0.700
0.410,0.240,5.400,0.035,33.000,115.000,3.120,0.440,12.893,0.700
0.280,0.430,7.600,0.030,30.000,110.000,3.080,0.590,12.500,0.800
0.440,0.470,5.450,0.014,44.000,137.000,3.130,0.320,13.000,0.800
0.210,0.600,2.100,0.046,47.000,165.000,3.050,0.540,10.100,0.700
0.340,0.300,4.700,0.029,34.000,148.000,3.360,0.490,12.300,0.700
0.360,0.350,8.600,0.038,37.000,125.000,3.000,0.320,12.400,0.800
0.250,0.340,1.200,0.026,31.000,93.000,2.930,0.370,11.300,0.700
0.240,0.490,9.400,0.048,50.000,149.000,3.170,0.590,10.500,0.700
0.300,0.420,1.100,0.036,19.000,113.000,3.100,0.460,12.600,0.700
0.230,0.380,8.300,0.047,47.000,162.000,3.340,0.520,10.500,0.700
0.200,0.270,3.200,0.047,16.000,93.000,3.440,0.530,10.100,0.700
0.240,0.320,9.000,0.031,41.000,134.000,3.250,0.260,12.300,0.700
0.265,0.280,6.900,0.036,46.000,150.000,3.360,0.440,10.800,0.700
0.115,0.290,1.950,0.038,73.000,166.000,3.120,0.250,12.900,0.700
